-3333,0x8015,GTX EEPROM TEMPLATE,0x20201001,デバイス情報
237,4,0,1,ulReserveEnd[170]
238,4,0,1,ulReserveEnd[171]
239,4,0,1,ulReserveEnd[172]
240,4,0,1,ulReserveEnd[173]
241,4,0,1,ulReserveEnd[174]
242,4,0,1,ulReserveEnd[175]
243,4,0,1,ulReserveEnd[176]
244,4,0,1,ulReserveEnd[177]
245,4,0,1,ulReserveEnd[178]
246,4,0,1,ulReserveEnd[179]
247,4,0,1,ulReserveEnd[180]
248,4,0,1,ulReserveEnd[181]
249,4,0,1,ulReserveEnd[182]
250,4,0,1,ulReserveEnd[183]
251,4,0,1,ulReserveEnd[184]
252,4,0,1,ulReserveEnd[185]
253,4,0,1,ulReserveEnd[186]
254,4,0,1,ulReserveEnd[187]
255,4,0,1,ulReserveEnd[188]
256,4,0,1,ulReserveEnd[189]
257,4,0,1,ulReserveEnd[190]
258,4,0,1,ulReserveEnd[191]
259,4,0,1,ulReserveEnd[192]
260,4,0,1,ulReserveEnd[193]
261,4,0,1,ulReserveEnd[194]
262,4,0,1,ulReserveEnd[195]
263,4,0,1,ulReserveEnd[196]
264,4,0,1,ulReserveEnd[197]
265,4,0,1,ulReserveEnd[198]
266,4,0,1,ulReserveEnd[199]
267,4,0,1,ulReserveEnd[200]
268,4,0,1,ulReserveEnd[201]
269,4,0,1,ulReserveEnd[202]
270,4,0,1,ulReserveEnd[203]
271,4,0,1,ulReserveEnd[204]
272,4,0,1,ulReserveEnd[205]
273,4,0,1,ulReserveEnd[206]
274,4,0,1,ulReserveEnd[207]
275,4,0,1,ulReserveEnd[208]
276,4,0,1,ulReserveEnd[209]
277,4,0,1,ulReserveEnd[210]
278,4,0,1,ulReserveEnd[211]
279,4,0,1,ulReserveEnd[212]
280,4,0,1,ulReserveEnd[213]
281,4,0,1,ulReserveEnd[214]
